query_id,answer
112,4219 4384 2646 2865 4400 1966 4395 4389 4234 4440
113,1951 4214 3467 4234 4328 2665 4308 2698 4219 4361
114,4395 4219 4389 4384 4214 4387 4400 4313 4440 4424
115,4395 4424 4454 4290 4241 4336 1909 1842 4351 4447
116,4219 2646 4308 4234 4384 4328 4396 4361 4440 2943
117,1909 4234 4328 4396 4286 4354 1899 4308 1907 4400
118,4440 4219 4384 4389 2646 4313 2221 3078 4394 4361
119,2646 4219 4384 3077 4308 1951 4234 3078 4361 4313
120,4384 4219 2646 4361 4440 4389 2943 3127 4234 4257
121,4440 4219 2646 4313 4384 4361 4389 1966 2865 3078
122,4451 4214 4219 4366 3774 2213 2698 4308 4243 2665
123,2646 4219 2865 4384 4387 4400 4440 1966 4361 4389
124,1909 4234 4396 4328 4361 4308 4286 4400 4387 4384
125,4219 4440 4389 2646 4384 4361 4387 3689 4396 1966
126,4328 4234 4045 4396 1907 4308 4286 4153 4445 4243
127,2646 4361 4219 4384 3470 2865 1966 2943 4234 3078
128,4219 2646 4400 2865 4384 1966 4361 4403 4387 4308
129,4400 4234 4408 1960 4219 4308 4328 4396 4286 1907
130,4219 4234 2646 1951 2865 4361 4308 4384 4403 4214
131,4440 4371 2171 4439 3552 2663 2886 4337 4240 2696
132,4411 4205 3871 4252 4274 2062 3261 2060 2057 4404
133,4234 4308 4214 4396 4328 2698 4361 4045 4219 4431
134,4328 4208 4366 4234 4286 4396 4371 4006 1909 4308
135,4387 4219 2646 4400 4384 4234 4285 4504 4257 2865
136,4219 2646 4384 4400 1966 2865 4395 4234 2696 3470
137,4219 4234 2646 1909 4403 4286 4308 2408 4214 4396
138,4205 3261 2060 4110 2057 4419 3150 2062 4411 4404
139,4219 2646 4308 4234 4396 4214 4328 4361 1951 2943
140,4219 4395 4389 4214 2646 4440 4384 2865 4313 4361
141,4234 4328 4308 1909 4219 4396 1907 4286 4400 3419
142,4219 2865 2646 4384 1966 4400 4361 4234 4395 4257
143,1951 4234 4320 4361 4328 4219 3861 4308 4321 4366
144,4389 4219 2646 4384 3127 4440 4361 4234 4285 4308
145,4286 4234 4362 4328 1951 4214 4308 1901 2698 4321
146,4234 1951 4320 4361 4286 4321 4219 4308 4436 4400
147,2646 4384 4387 4219 1966 4400 2865 3470 4440 4361
148,2646 4219 2865 1966 4384 4400 4234 3844 4395 4361
149,4219 2646 1966 2865 4384 4400 4234 4361 4387 4395
150,4445 1910 4422 4518 4530 4229 4353 4243 4245 2151
151,4219 2646 1966 2865 4384 4400 4403 4361 4234 4387
152,4219 2646 4384 4361 2943 4387 2865 4440 1966 3470
153,1907 4328 4286 4396 4234 1951 1909 4219 4361 4400
154,4328 4286 4396 1907 4234 3467 3436 1951 1909 4362
155,4400 4219 2646 4234 2865 2408 4407 4384 4403 1966
156,2865 4219 2646 4387 4384 4400 4234 1966 1951 4403
157,4219 1966 2646 4384 2865 4387 4400 4234 4403 4440
158,1951 4234 4328 4214 3467 4286 4308 4219 4361 2698
159,2646 4219 4384 1966 2865 4440 4400 4389 4234 4361
160,1909 4234 4396 4328 4286 4308 4517 4400 1907 3419
161,2665 4214 2698 4219 4398 3553 2511 4361 4234 4395
162,4219 2865 2646 1966 4384 4400 4440 3470 4234 4389
163,1951 4286 4328 4234 4396 4436 4433 4218 4320 4308
164,4234 4367 4400 4361 2696 4403 2865 4291 1966 4307
165,4219 2646 4440 3470 4384 1966 2865 3078 4389 4361
166,4234 1909 3467 4214 4308 4219 4328 4362 2698 4286
167,4219 2646 4400 1966 4384 2865 4387 4234 4403 4408
168,1951 4234 4219 4361 2646 4308 3467 4286 2698 4214
169,2865 2646 1966 4219 4384 4400 4234 4361 4403 4387
170,1958 4234 4387 4384 1966 4219 2865 2646 4400 4361
171,4440 2696 4389 4371 4219 2171 4276 4361 2894 4313
172,4219 2646 4384 4361 4308 4234 3127 4440 2865 4389
173,3128 4433 4440 3643 3909 2886 2148 2696 2196 2894
174,1907 4396 4286 4234 1951 4361 4328 4214 4400 3467
175,4451 4447 4214 2698 4209 4220 2405 4227 4290 3995
176,4440 4219 4394 4361 4389 4384 2646 4234 4331 4257
177,1951 3467 4214 4234 4219 2698 4361 4308 2665 4328
178,1951 4320 3467 4214 4219 4234 4321 4367 2698 2232
179,4364 4423 4220 3028 2937 2914 4232 4436 4318 2917
180,4219 4389 2646 4283 4273 4440 4308 4501 3565 4234
181,4389 2646 3565 4384 4219 4285 4440 4387 4234 4018
182,4219 2646 4234 4361 1951 1909 4308 2865 4285 4516
183,1951 4214 3467 4328 4234 4286 4451 2698 4308 4361
184,4219 2646 2865 1966 4400 4384 4234 3844 4308 4361
185,1951 4320 4214 2232 4436 4321 3467 4234 3469 3861
186,4371 4440 3993 2923 4409 3254 4320 4373 2942 4276
187,4400 2831 4234 4219 2646 4408 4387 4361 4328 1966
188,4219 2646 4400 4384 4234 4387 2865 1966 4361 4403
189,4219 2865 2646 4384 4234 4400 1966 4387 4403 4361
190,4204 4234 4006 3579 1951 2095 3467 3580 4361 4018
191,1951 4234 2646 4219 4286 4361 4532 4400 4050 4308
192,4286 4328 1909 4396 4387 4234 1907 4219 4403 4361
193,4407 4403 4234 2646 4219 4400 4387 2408 1966 2865
194,1951 4328 3467 4234 4286 4214 4219 4396 4308 1909
195,4395 4219 4214 4389 2646 4424 4387 4235 4313 2698
196,4387 2646 4219 4384 1966 2865 4440 4389 4257 4285
197,4219 4384 2646 4389 4440 4361 3565 3127 4308 4218
198,1951 4234 4328 4214 3467 4286 4308 2665 4361 2698
199,2646 2865 4219 4361 4234 4384 1966 3844 4406 4257
200,4219 2646 2865 4384 4440 1966 4387 4361 4400 4389
201,4400 4387 2696 4219 3932 2204 4257 2203 3148 4234
202,4219 2646 4308 3127 4389 4384 4440 4396 4361 2943
203,4387 4219 2646 1966 4384 2865 4440 4389 4504 4400
204,4234 1909 4328 4308 4286 4219 4396 4400 4214 2646
205,4219 1951 4234 2646 4384 2865 4214 1966 4361 2866
206,4308 4396 4328 2249 4219 4234 4400 4403 4387 4354
207,4219 2646 4214 4395 2698 2665 2943 4389 4234 3026
208,4219 2646 4387 2865 4384 4400 4308 4403 4234 4504
209,1951 4234 4361 2646 3467 4219 4328 4308 4286 4400
210,4234 4384 2646 4219 4361 4400 4406 3470 1966 4328
211,2646 4219 4384 2865 1966 4400 4440 4361 4234 4387
212,4328 4286 4396 4234 1907 4214 4308 1909 3436 2665
213,4440 4219 4389 4384 2646 3565 4312 4283 4273 3078
214,4395 4219 2646 4214 4384 4400 2865 1966 4389 4313
215,4328 4234 4396 1909 4286 1907 4308 4219 4400 4361
216,4321 4372 2695 4440 2222 2968 2902 4332 2661 4008
217,4219 4308 4366 2698 4214 2646 4460 4451 2665 4384
218,2646 4219 4440 4361 4384 4234 4389 4257 2865 4406
219,4219 2646 4308 4328 4384 4234 3467 4396 3127 4361
220,4440 2171 4389 4371 2696 2894 4373 2220 3254 4276
221,4219 4389 4440 2646 3565 4384 4285 3127 4018 4387
222,1951 4328 4234 4396 4214 4286 4400 1909 1907 2698
223,4219 4389 2646 4384 4440 4257 4285 4361 3127 4018
224,4400 4219 4387 1966 2865 4234 4408 4403 4308 2831
225,4371 2910 4234 4361 4309 3169 4372 1909 4396 4240
226,4307 4318 4371 4207 2908 3777 4372 4354 4291 4243
227,4328 4396 4286 1907 1909 4234 1951 4308 3436 3467
228,2646 4219 2865 4384 1966 4234 4400 4387 4361 4308
229,4384 1966 1958 4387 2646 4219 2865 4234 4400 4361
230,4400 4219 4384 4234 2646 2865 4332 1966 4361 3689
231,4328 4234 4286 1951 4396 4308 1907 3467 4362 3436
232,4387 1966 2646 2865 4384 4219 4234 4400 4395 4214
233,1951 4234 3467 4532 4361 4387 4396 4286 4307 2646
234,4219 4396 4440 4308 4387 4234 4389 4329 4403 1909
235,4387 2646 4219 4384 2865 1966 4234 4400 4504 4285
236,4219 4400 4384 2646 1966 2865 4403 4387 4234 4361
237,4396 4328 4308 4234 3265 1909 1846 1901 4435 4362
238,4328 4234 4396 4286 1909 1907 4308 4446 4400 4362
239,4364 4423 4220 4414 4232 3746 2324 2937 4294 4388
240,4328 4396 4286 4234 1907 4243 3436 4308 4045 1909
241,4328 4234 4396 4286 1907 1951 4308 4219 4243 4400
242,4234 4328 4214 4362 4396 2698 4387 3467 4403 4400
243,4361 3844 4406 2646 4257 4440 4389 4234 1966 2865
244,1951 4234 3467 4214 4286 4328 4308 4320 2698 4321
245,4219 2646 4387 2865 4384 1966 4504 4395 4400 4234
246,4219 2646 2865 4384 4400 1966 4387 4403 4361 4234
247,2646 4387 4384 4219 2865 1966 4361 4234 4504 4257
248,2968 4388 4375 2695 2663 4371 2221 4354 4356 3051
249,4219 4384 3470 2646 1966 3078 2865 4400 4313 3567
250,1951 4234 4214 4320 4308 4219 4321 4286 2665 2646
251,4219 4400 4308 4387 4384 4234 4328 2646 2865 4403
252,4440 3254 2894 2886 4371 2923 4433 2196 2696 3128
253,4328 4396 4234 4286 4308 1909 1899 4219 2665 3467
254,1951 4328 4234 4286 4219 4320 4396 4361 4321 4451
255,1909 4234 4396 1910 4328 4308 4331 4361 4387 4403
256,4219 2646 2865 1966 4384 4400 4387 4403 4395 4234
257,4243 4220 3234 4234 4309 2698 4249 4371 4224 4296
258,4234 4219 4308 1909 2646 4446 4214 4328 3467 4331
259,4219 2646 4384 2865 4400 1966 4387 4234 4403 3209
260,1951 3467 4234 4328 4214 4320 4361 4010 4219 4286
261,4219 2865 4400 2646 4384 4387 1966 2408 4407 4403
262,1951 4286 4234 4396 3467 4328 2646 4219 4214 4408
263,4243 4328 3315 4307 3858 4162 3783 4453 4519 4436
264,4309 2674 4523 4520 2214 3750 3016 4377 4433 2928
265,4387 4219 2646 4384 1966 2865 4440 4389 4504 4400
266,4214 4451 2698 4219 3995 4361 4290 4445 4227 4366
267,1966 4400 4219 4387 4384 2646 2865 4403 4234 4214
268,4328 4234 4400 4396 1909 4286 4219 4308 4424 4214
269,4214 2698 4308 4361 4219 4460 4366 3862 4451 4433
270,4219 2646 4234 4384 3127 1951 4308 3467 4361 4389
271,4328 4396 4286 4234 4219 1909 1907 3467 4214 4400
272,4219 2646 2865 1966 4384 4387 4234 4395 4400 4504
273,1951 4234 3467 4328 4286 4214 4219 4308 4361 4322
274,4328 4396 4234 4308 1909 4387 4286 4356 4435 4433
275,2646 4219 4384 4361 4233 3077 4440 3844 4234 2865
276,4219 2646 4400 4384 2865 4387 4234 1966 4361 4308
277,4214 4451 2698 2405 4276 4220 4447 4227 4371 3995
278,4328 4396 4286 1907 3467 4234 1951 1909 4308 3436
279,4328 4286 1907 4396 4234 3467 1909 4399 4403 4360
280,4219 4400 4361 3209 4408 1966 4396 4403 4440 4234
281,4219 4440 4389 4384 4361 4045 2943 4046 2171 3781
282,4219 2646 4234 4384 4308 4400 2865 4361 3127 4408
283,4328 4396 2646 4234 4286 4219 4400 4308 2665 4214
284,2663 4008 4287 4348 2171 2222 4420 2968 3595 4371
285,4214 2698 4234 3467 1909 2665 4308 4328 1907 1951
286,4328 1907 4396 4286 1909 4308 4234 1951 4219 4400
287,4224 3734 4307 4276 4264 4262 4377 4385 3592 4433
288,4219 2962 2646 4397 4440 4290 4389 1918 4227 4308
289,4234 1910 4361 4328 4308 4219 1960 2646 4286 4408
290,4234 4308 4219 1951 2646 4384 4361 4050 4362 4153
291,4219 2646 4384 4387 2408 4403 1966 2865 4400 4361
292,4219 2646 2865 4384 4387 4400 1966 4234 4403 4214
293,2646 4219 4389 4384 4233 3565 4440 3127 4313 4361
294,4395 4219 2646 4387 4214 4389 1966 2865 4400 4424
295,4219 4400 1966 2646 2865 4384 4387 4234 4395 4403
296,1951 4234 4214 4219 4328 2698 4286 4320 4361 2665
297,4308 4396 4219 4234 2646 4214 4440 4331 4387 1909
298,4219 2646 1966 2865 4387 4400 4395 4361 4389 4257
299,4219 4361 4384 2943 3470 4257 3078 2646 4234 4406
300,4308 4234 4396 4408 4387 4214 4219 1960 1909 1899
301,4234 4219 2646 4361 2865 4440 1966 4384 4286 4322
302,4371 4354 4307 4134 4224 3780 2953 4276 3779 4375
303,4328 4286 4396 4234 1907 1951 1909 4308 3467 4219
304,4219 2646 3015 4234 4384 3467 4308 4361 4214 2698
305,4362 4328 4234 2698 4286 1901 4396 4153 4243 4045
306,4328 4234 4396 4286 4219 4308 4361 4403 1907 4362
307,4243 3993 4134 3784 4307 4354 4224 2949 4276 4371
308,1951 4328 4286 3467 4234 4214 4219 4361 4396 4395
309,4440 2171 4371 2220 2886 2894 4375 2279 2247 2968
310,1951 4234 3467 4328 4361 2646 4286 4218 4403 4396
311,4219 2646 2865 1966 4384 4400 4234 4440 4387 4257
312,4308 4362 4435 4328 4234 4214 4396 4219 2698 3265
313,1951 4234 4362 4308 4214 4328 4219 3467 4045 4204
314,4308 4396 4328 4234 1899 1909 4219 4286 4362 4045
315,1951 4214 4234 4320 4321 4219 4328 4367 2698 2232
316,4387 4219 2646 4400 1966 4403 4234 4361 2865 4396
317,4234 4328 1909 4308 4396 4286 1907 4219 4400 3419
318,4387 2646 4219 4384 1966 2865 4400 4257 4504 4285
319,4234 4219 1951 4328 4286 1909 4308 2646 4214 4331
320,4219 4384 4233 4361 2646 4234 4257 4333 2865 3127
321,4328 4286 4396 1907 3467 4234 1909 3419 4403 4362
322,1909 4384 1907 4387 4400 4234 4408 4361 4396 4403
323,2646 4219 4400 4440 1966 4384 4389 4387 2865 4234
324,2865 4234 4219 4384 4400 2646 1966 2831 4387 4361
325,4219 4384 4387 2646 4400 4440 2865 1966 4389 4234
326,4328 4396 4286 1907 3436 4234 1951 3467 4214 1909
327,4219 2646 4384 4361 4233 1909 4234 4308 4334 4331
328,4219 1910 4009 4234 4408 1909 4531 1923 4361 4358
329,4400 4387 1966 2646 4219 4234 4308 2865 4313 4361
330,1951 4214 4234 3467 4308 4328 4286 2665 2646 4320
331,2646 4384 4219 4389 4440 4361 4218 3127 4233 4395
332,4214 2698 4219 2665 4361 4308 2646 1951 4451 4395
333,1951 4214 4234 4320 3861 2232 4321 4436 4328 4219
334,4219 4214 4308 4361 4445 4400 2698 4395 2665 4209
335,1951 3467 4214 4328 4234 4308 4286 4396 1899 1901
336,4328 4396 4308 4234 4400 4446 4286 1909 4362 4214
337,2646 4219 4361 1966 4384 4234 4440 4387 2865 4308
338,1951 4234 4214 4361 4328 4219 2698 4286 4308 2646
339,4214 2698 1951 4234 2665 4308 4361 4219 4328 4451
340,4224 2953 4373 4291 4243 4375 3863 3853 2928 4354
341,4387 2646 4384 4219 4400 2865 1966 4440 4234 4389
342,4045 4234 3592 4153 4242 4243 4050 4162 4361 4328
343,2646 4219 4384 4440 4234 2865 4387 4361 4395 4257
344,2646 4219 4389 4214 4234 4361 4328 1951 4396 4440
345,4219 2646 4384 4440 4361 4389 4234 2865 1966 4400
346,4445 4234 4219 4400 2865 4291 1966 4403 4308 3844
347,4387 4400 4219 2646 4384 4234 1966 4332 4501 4403
348,4219 4395 4440 4214 4387 4389 4361 1909 4285 4396
349,4389 4219 4361 4283 4384 4273 2221 2646 4440 4233
350,4219 2865 2646 1966 4384 4400 4395 3470 3567 4234
351,4219 2646 4387 1966 4400 2865 4234 4403 4334 4308
352,4214 4400 4308 4219 4445 4361 4234 2698 2665 4209
353,2062 4110 4411 3261 3150 4205 2060 4404 4109 2857
354,4396 1909 4328 4354 1899 4286 4249 4234 4308 2244
355,4219 2646 4384 2865 4387 1966 2962 4395 4440 4389
356,4328 4234 4286 4396 1909 4400 4308 4219 4214 4227
357,4219 2646 1951 3127 4234 4308 4361 4384 4408 4328
358,2646 4234 4219 4384 4361 1951 1966 4010 2865 4322
359,4219 2646 2865 4384 1966 4400 4234 4403 4387 4395
360,1951 4214 4328 3467 4234 4320 4321 2698 4436 4308
361,4214 4395 2698 2665 4424 1909 4396 4398 3553 4400
362,4234 4361 4384 4219 2646 4400 4328 4308 2865 4243
363,4219 2865 4384 2646 1966 4400 3470 4234 4395 4389
364,4328 1907 4396 4286 4234 4308 1909 4400 4219 4361
365,4307 2663 4287 3780 2415 4420 4348 2968 4269 2222
366,2646 4361 2865 4234 1966 4219 4400 4384 3844 2408
367,4384 3470 4313 4219 3077 2646 4361 3078 4440 4234
368,4234 1910 4331 4219 4308 4361 1951 4133 4387 4366
369,4328 4234 4396 4286 1909 4400 1951 4214 4045 4308
370,1951 4234 2646 4219 3467 4214 4361 4308 2698 4010
371,4451 4209 4445 2253 4436 3148 2968 4178 2663 2247
372,1909 4328 4308 4396 4234 4219 3088 4400 3419 4362
373,4234 4308 4396 4328 4400 2646 4286 2665 3467 4403
374,4400 4219 4234 4387 2646 4308 2865 4403 1966 2831
375,1951 4219 2646 3467 4234 4218 4532 4320 4321 4286
376,4219 2865 2646 1966 4384 4400 4395 4387 4403 4234
377,4219 2646 1951 4234 4384 4308 4361 4286 3127 3467
378,3265 4328 4234 4308 4396 2665 4214 3467 1951 4219
379,4440 4219 2646 4389 4384 1966 4361 2865 4303 3844
380,2646 4219 4384 2865 4387 4234 4403 1966 4400 4361
381,4219 2646 2865 1966 4400 4384 4387 4395 4234 4403
382,4328 4286 4396 1907 4234 3419 4403 4408 2408 4334
383,4370 4242 4266 4354 4318 4551 4321 2928 3862 4315
384,2646 4234 4219 3467 4308 4328 1951 4334 4045 4153
385,1951 3467 2646 4219 4234 4214 4321 4328 2698 4286
386,4219 4384 3470 4387 4400 2646 3078 4313 4440 1966
387,1951 4234 3467 4214 4328 4286 2665 4532 4361 4396
388,4440 4219 4389 4384 2646 4361 4331 4334 4257 2863
389,1951 4234 2646 4219 4286 4308 3467 2698 4361 4214
390,4371 4328 2910 4445 4178 4234 4307 4286 4372 4308
391,4234 4328 4361 4308 4219 4433 1909 4286 4396 4214
392,4328 4234 4286 4396 4219 1909 4308 1899 1951 2646
393,4219 2646 4234 4384 4214 4440 1951 4308 4396 4361
394,1951 4328 3467 4234 4321 4367 4219 4286 4320 4361
395,4371 2220 4276 4337 4373 4439 4006 4243 3128 4266
396,4219 2646 4384 4395 4389 4214 4440 4387 4234 4205
397,1951 4234 4361 4219 4286 4308 2646 2698 4328 4400
398,4395 4424 1842 3992 4377 4454 4227 4528 4523 4529
399,4219 2646 4384 1966 4440 2865 4400 4389 4361 3470
400,4219 4395 4389 4214 2646 4440 4384 4424 4387 4313
401,4219 2646 4384 4400 4387 2865 1966 4234 4361 4403
402,4451 4214 4447 2698 4227 4290 4445 4387 4219 4395
403,4219 2646 2865 4384 1966 4400 3844 4234 4406 4361
404,4219 2865 2646 1966 4384 4400 4395 3470 4234 4361
405,4328 4396 4286 4234 3467 4308 1907 1909 4403 4249
406,4387 4400 4219 4384 2646 4234 2865 4308 4403 1966
407,4328 4286 4396 4234 3436 1907 1909 1951 1899 3467
408,2646 4234 4219 4384 4361 1966 2865 4308 1951 4406
409,1909 4328 4234 4396 4286 1899 4354 4308 1907 4400
410,4219 4234 2646 1951 4361 4400 4403 4516 3467 4308
411,4387 4361 4234 4400 2943 4219 4403 4408 2646 2511
412,4219 4395 2646 4389 4214 4424 4440 4384 3026 4387
413,4328 4234 4400 4396 4286 4308 4134 1909 4424 4045
414,4307 2908 4372 2253 2794 2968 3051 2663 4364 4207
415,4328 4234 4400 4286 4396 1951 4308 1909 4219 4214
416,4219 2646 4384 1966 4400 4440 2865 4387 4361 4234
417,2062 4411 4110 3147 3260 4219 4419 4451 3008 2057
418,4328 4234 1909 4286 4219 1907 4308 1951 2698 4396
419,4219 4313 3470 4384 4400 3078 4234 4334 4387 4440
420,4219 2646 4384 4361 4440 2865 4313 4234 1966 3470
421,4219 2865 2646 4384 4387 4400 4234 1966 4308 4403
422,4308 4396 4234 4328 4219 4400 4387 1909 1958 3088
423,4440 4219 2646 4384 4389 2962 2865 1966 4387 4257
424,4234 2646 4384 2865 4361 4308 1966 4504 4219 4400
425,4234 1951 4328 4384 4396 2646 4308 4286 2665 4361
426,4219 4440 2646 2962 4389 4387 4361 4257 4308 4285
427,1951 4234 4328 4286 3467 4396 4219 4320 4532 4308
428,4234 4219 4308 2646 1909 4328 4214 3467 4396 4331
429,1951 4328 4396 4286 3467 4234 1907 4219 3436 4320
430,4219 1966 2646 4384 2865 4387 4400 4234 4504 4403
431,4219 2865 2646 4384 1966 4400 4234 4361 4395 3844
432,1951 4234 4214 4219 4328 4308 4286 2698 2646 4387
433,1951 4234 4328 4219 4361 3467 2646 4396 4286 4322
434,4396 4308 1909 4328 4219 4286 4387 2511 4400 4408
435,4234 2646 4219 4361 2865 1951 1909 4384 4308 4403
436,4234 4400 4308 4408 4219 4387 1960 4328 1909 4403
437,4219 2646 2865 4384 1966 4387 2962 4234 4395 4400
