query_id,fold,variant,query_text,original_text,ground_truth
79,0,case_punct,"!!! пРОСЯТ ДОСТАВКУ 3 ЛИСТОВ ОРГАЛИТА 1,2*2, 7 М В бАШКИРИЮ. вОЗМОЖЕН ЛИ ТАКОЙ ВАРИАНТ И КТО ОПЛАЧИВАЕТ ДОСТАВКУ? ???","Просят доставку 3 листов оргалита 1,2*2, 7 м в Башкирию. Возможен ли такой вариант и кто оплачивает доставку?",1951 4286
79,0,typo_delete,"Просят доставку 3 листов оралита 1,2*2, 7 м в Башкирию. Возможен ли такой вариант и кто оплачивает доставку?","Просят доставку 3 листов оргалита 1,2*2, 7 м в Башкирию. Возможен ли такой вариант и кто оплачивает доставку?",1951 4286
79,0,typo_swap,"Просят доставку 3 листов оргалиат 1,2*2, 7 м в Башкирию. Возможен ли такой вариант и кто оплачивает доставку?","Просят доставку 3 листов оргалита 1,2*2, 7 м в Башкирию. Возможен ли такой вариант и кто оплачивает доставку?",1951 4286
79,0,typo_keyboard,"Просят доставку 3 листов оргалита 1,2*2, 7 м в Башкирию. Влзможен ли такой вариант и кто оплачивает доставку?","Просят доставку 3 листов оргалита 1,2*2, 7 м в Башкирию. Возможен ли такой вариант и кто оплачивает доставку?",1951 4286
79,0,typo_two,"Просят доставку 3 листов оргалита 1,2*2, 7 м в Бащкирию. Возможен ли такой вариант и кто оплачивает достаку?","Просят доставку 3 листов оргалита 1,2*2, 7 м в Башкирию. Возможен ли такой вариант и кто оплачивает доставку?",1951 4286
79,0,drop_content,"Просят доставку 3 оргалита 1,2*2, 7 м в Башкирию. Возможен ли такой вариант и кто оплачивает доставку?","Просят доставку 3 листов оргалита 1,2*2, 7 м в Башкирию. Возможен ли такой вариант и кто оплачивает доставку?",1951 4286
79,0,polite_noise,"Здравствуйте! Подскажите, пожалуйста, очень срочно: Просят доставку 3 листов оргалита 1,2*2, 7 м в Башкирию. Возможен ли такой вариант и кто оплачивает доставку?","Просят доставку 3 листов оргалита 1,2*2, 7 м в Башкирию. Возможен ли такой вариант и кто оплачивает доставку?",1951 4286
79,0,topic_distractor,"Просят доставку 3 листов оргалита 1,2*2, 7 м в Башкирию. Возможен ли такой вариант и кто оплачивает доставку? Также не понимаю, почему не работает Авито Доставка и когда вернут деньги.","Просят доставку 3 листов оргалита 1,2*2, 7 м в Башкирию. Возможен ли такой вариант и кто оплачивает доставку?",1951 4286
79,0,mask_entities,"Просят доставку <NUMBER> листов оргалита <NUMBER>*<NUMBER>, <NUMBER> м в Башкирию. Возможен ли такой вариант и кто оплачивает доставку?","Просят доставку 3 листов оргалита 1,2*2, 7 м в Башкирию. Возможен ли такой вариант и кто оплачивает доставку?",1951 4286
81,0,original,"Добрый день. Разьясните пжл по брони с 10 по <DATE>. Что это за акция? Сколько мне гость при заселении должен? Там и 1995 , и 2100. не пойму","Добрый день. Разьясните пжл по брони с 10 по <DATE>. Что это за акция? Сколько мне гость при заселении должен? Там и 1995 , и 2100. не пойму",3478
81,0,case_punct,"!!! дОБРЫЙ ДЕНЬ. рАЗЬЯСНИТЕ ПЖЛ ПО БРОНИ С 10 ПО <date>. чТО ЭТО ЗА АКЦИЯ? сКОЛЬКО МНЕ ГОСТЬ ПРИ ЗАСЕЛЕНИИ ДОЛЖЕН? тАМ И 1995 , И 2100. НЕ ПОЙМУ ???","Добрый день. Разьясните пжл по брони с 10 по <DATE>. Что это за акция? Сколько мне гость при заселении должен? Там и 1995 , и 2100. не пойму",3478
81,0,typo_delete,"Добрый день. Разьясните пжл по бони с 10 по <DATE>. Что это за акция? Сколько мне гость при заселении должен? Там и 1995 , и 2100. не пойму","Добрый день. Разьясните пжл по брони с 10 по <DATE>. Что это за акция? Сколько мне гость при заселении должен? Там и 1995 , и 2100. не пойму",3478
81,0,typo_swap,"Добрый день. Разьясните пжл по брони с 10 по <DATE>. Что это за акция? Сколько мне гость при заселении должен? Там и 1995 , и 2100. не пойум","Добрый день. Разьясните пжл по брони с 10 по <DATE>. Что это за акция? Сколько мне гость при заселении должен? Там и 1995 , и 2100. не пойму",3478
81,0,typo_keyboard,"Добрый день. Разьясните пжл по брони с 10 по <DATE>. Что это за акция? Сколько мне гость при заселении должнн? Там и 1995 , и 2100. не пойму","Добрый день. Разьясните пжл по брони с 10 по <DATE>. Что это за акция? Сколько мне гость при заселении должен? Там и 1995 , и 2100. не пойму",3478
81,0,typo_two,"Добрый день. Разьясните пжл по брони с 10 по <DATE>. Что это за акция? Склько мне гость при зпселении должен? Там и 1995 , и 2100. не пойму","Добрый день. Разьясните пжл по брони с 10 по <DATE>. Что это за акция? Сколько мне гость при заселении должен? Там и 1995 , и 2100. не пойму",3478
81,0,drop_content,"Добрый день. Разьясните пжл по брони с 10 по <DATE>. Что это за ? Сколько мне гость при заселении должен? Там и 1995 , и 2100. не пойму","Добрый день. Разьясните пжл по брони с 10 по <DATE>. Что это за акция? Сколько мне гость при заселении должен? Там и 1995 , и 2100. не пойму",3478
81,0,polite_noise,"Здравствуйте! Подскажите, пожалуйста, очень срочно: Добрый день. Разьясните пжл по брони с 10 по <DATE>. Что это за акция? Сколько мне гость при заселении должен? Там и 1995 , и 2100. не пойму","Добрый день. Разьясните пжл по брони с 10 по <DATE>. Что это за акция? Сколько мне гость при заселении должен? Там и 1995 , и 2100. не пойму",3478
81,0,topic_distractor,"Добрый день. Разьясните пжл по брони с 10 по <DATE>. Что это за акция? Сколько мне гость при заселении должен? Там и 1995 , и 2100. не пойму Также не понимаю, почему не работает Авито Доставка и когда вернут деньги.","Добрый день. Разьясните пжл по брони с 10 по <DATE>. Что это за акция? Сколько мне гость при заселении должен? Там и 1995 , и 2100. не пойму",3478
81,0,mask_entities,"Добрый день. Разьясните пжл по брони с <NUMBER> по <ENTITY>. Что это за акция? Сколько мне гость при заселении должен? Там и <NUMBER> , и <NUMBER>. не пойму","Добрый день. Разьясните пжл по брони с 10 по <DATE>. Что это за акция? Сколько мне гость при заселении должен? Там и 1995 , и 2100. не пойму",3478
82,0,original,"Здравствуйте! Из-за габаритов товара не получается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средств!","Здравствуйте! Из-за габаритов товара не получается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средств!",4384 4396
82,0,case_punct,"!!! зДРАВСТВУЙТЕ! иЗ-ЗА ГАБАРИТОВ ТОВАРА НЕ ПОЛУЧАЕТСЯ ОФОРМИТЬ ДОСТАВКУ. хОЧУ ОФОРМИТЬ САМОВЫВОЗ, НО ПРИЛОЖЕНИЕ НЕ ДАЁТ ОПЛАТИТЬ ПОКУПКУ. сДЕЛАЙТЕ ВОЗВРАТ СРЕДСТВ! ???","Здравствуйте! Из-за габаритов товара не получается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средств!",4384 4396
82,0,typo_delete,"Здравствуйте! Из-за габаритов товара не полуается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средств!","Здравствуйте! Из-за габаритов товара не получается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средств!",4384 4396
82,0,typo_swap,"Здравствуйте! Из-за габаритов товара не получается оформить доставку. Хочу оофрмить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средств!","Здравствуйте! Из-за габаритов товара не получается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средств!",4384 4396
82,0,typo_keyboard,"Здравствуйте! Из-за габаритов товара не получается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средмтв!","Здравствуйте! Из-за габаритов товара не получается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средств!",4384 4396
82,0,typo_two,"Здравствуйте! Из-за габаритов товара не полчается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат срежств!","Здравствуйте! Из-за габаритов товара не получается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средств!",4384 4396
82,0,drop_content,"Здравствуйте! Из-за товара не получается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средств!","Здравствуйте! Из-за габаритов товара не получается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средств!",4384 4396
82,0,polite_noise,"Здравствуйте! Подскажите, пожалуйста, очень срочно: Здравствуйте! Из-за габаритов товара не получается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средств!","Здравствуйте! Из-за габаритов товара не получается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средств!",4384 4396
82,0,topic_distractor,"Здравствуйте! Из-за габаритов товара не получается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средств! Также не понимаю, почему не работает Авито Доставка и когда вернут деньги.","Здравствуйте! Из-за габаритов товара не получается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средств!",4384 4396
82,0,mask_entities,"Здравствуйте! Из-за габаритов товара не получается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средств!","Здравствуйте! Из-за габаритов товара не получается оформить доставку. Хочу оформить самовывоз, но приложение не даёт оплатить покупку. Сделайте возврат средств!",4384 4396
83,0,original,"Здравствуйте, я оплатила объявление","Здравствуйте, я оплатила объявление",4389 4440
83,0,case_punct,"!!! зДРАВСТВУЙТЕ, Я ОПЛАТИЛА ОБЪЯВЛЕНИЕ ???","Здравствуйте, я оплатила объявление",4389 4440
83,0,typo_delete,"Здравствуйте, я оплатиа объявление","Здравствуйте, я оплатила объявление",4389 4440
83,0,typo_swap,"Здравствуйте, я опалтила объявление","Здравствуйте, я оплатила объявление",4389 4440
83,0,typo_keyboard,"Здравствуйте, я орлатила объявление","Здравствуйте, я оплатила объявление",4389 4440
83,0,typo_two,"Здравствуйте, я опльила объявление","Здравствуйте, я оплатила объявление",4389 4440
83,0,drop_content,"Здравствуйте, я оплатила","Здравствуйте, я оплатила объявление",4389 4440
83,0,polite_noise,"Здравствуйте! Подскажите, пожалуйста, очень срочно: Здравствуйте, я оплатила объявление","Здравствуйте, я оплатила объявление",4389 4440
83,0,topic_distractor,"Здравствуйте, я оплатила объявление Также не понимаю, почему не работает Авито Доставка и когда вернут деньги.","Здравствуйте, я оплатила объявление",4389 4440
83,0,mask_entities,"Здравствуйте, я оплатила объявление","Здравствуйте, я оплатила объявление",4389 4440
89,0,original,Как активировать оплату после получения при оформлении,Как активировать оплату после получения при оформлении,4219 4234
89,0,case_punct,!!! кАК АКТИВИРОВАТЬ ОПЛАТУ ПОСЛЕ ПОЛУЧЕНИЯ ПРИ ОФОРМЛЕНИИ ???,Как активировать оплату после получения при оформлении,4219 4234
89,0,typo_delete,Как активировать оплату после получения при оформлнии,Как активировать оплату после получения при оформлении,4219 4234
89,0,typo_swap,Как активиорвать оплату после получения при оформлении,Как активировать оплату после получения при оформлении,4219 4234
89,0,typo_keyboard,Как активировать оплпту после получения при оформлении,Как активировать оплату после получения при оформлении,4219 4234
89,0,typo_two,Как активировать орлату после получения при оформлнии,Как активировать оплату после получения при оформлении,4219 4234
89,0,drop_content,Как активировать оплату после при оформлении,Как активировать оплату после получения при оформлении,4219 4234
89,0,polite_noise,"Здравствуйте! Подскажите, пожалуйста, очень срочно: Как активировать оплату после получения при оформлении",Как активировать оплату после получения при оформлении,4219 4234
89,0,topic_distractor,"Как активировать оплату после получения при оформлении Также не понимаю, почему не работает Авито Доставка и когда вернут деньги.",Как активировать оплату после получения при оформлении,4219 4234
89,0,mask_entities,Как активировать оплату после получения при оформлении,Как активировать оплату после получения при оформлении,4219 4234
92,0,original,"Здравствуйте,как работаем авито доставка? Должна ли я что-то платить отправляя заказ?","Здравствуйте,как работаем авито доставка? Должна ли я что-то платить отправляя заказ?",4234
92,0,case_punct,"!!! зДРАВСТВУЙТЕ,КАК РАБОТАЕМ АВИТО ДОСТАВКА? дОЛЖНА ЛИ Я ЧТО-ТО ПЛАТИТЬ ОТПРАВЛЯЯ ЗАКАЗ? ???","Здравствуйте,как работаем авито доставка? Должна ли я что-то платить отправляя заказ?",4234
92,0,typo_delete,"Здравствуйте,как работаем авито доставка? Должна ли я что-то платиь отправляя заказ?","Здравствуйте,как работаем авито доставка? Должна ли я что-то платить отправляя заказ?",4234
92,0,typo_swap,"Здравствуйте,как раобтаем авито доставка? Должна ли я что-то платить отправляя заказ?","Здравствуйте,как работаем авито доставка? Должна ли я что-то платить отправляя заказ?",4234
92,0,typo_keyboard,"Здравствуйте,как работаем авито домтавка? Должна ли я что-то платить отправляя заказ?","Здравствуйте,как работаем авито доставка? Должна ли я что-то платить отправляя заказ?",4234
